id,name,city,state,country
28,Store-SE-028,Lagarto,SE,BR
29,Store-PA-029,Santarem,PA,BR
30,Store-RO-030,Ariquemes,RO,BR
31,Store-PI-031,Parnaiba,PI,BR
32,Store-MG-032,Contagem,MG,BR
33,Store-MG-033,Uberlandia,MG,BR
34,Store-PE-034,Recife,PE,BR
35,Store-AM-035,Itacoatiara,AM,BR
36,Store-AP-036,Macapa,AP,BR
37,Store-DF-037,Ceilandia,DF,BR
38,Store-PA-038,Ananindeua,PA,BR
39,Store-MA-039,Caxias,MA,BR
40,Store-AC-040,Sena Madureira,AC,BR
41,Store-PR-041,Londrina,PR,BR
42,Store-PB-042,Santa Rita,PB,BR
43,Store-SE-043,Nossa Senhora do Socorro,SE,BR
44,Store-CE-044,Juazeiro do Norte,CE,BR
45,Store-AP-045,Santana,AP,BR
46,Store-PB-046,Joao Pessoa,PB,BR
47,Store-ES-047,Vitoria,ES,BR
48,Store-ES-048,Vila Velha,ES,BR
49,Store-BA-049,Salvador,BA,BR
50,Store-PE-050,Jaboatao dos Guararapes,PE,BR
51,Store-BA-051,Feira de Santana,BA,BR
52,Store-CE-052,Fortaleza,CE,BR
53,Store-RN-053,Mossoro,RN,BR
54,Store-MG-054,Belo Horizonte,MG,BR
55,Store-MS-055,Campo Grande,MS,BR
56,Store-MT-056,Cuiaba,MT,BR
57,Store-RJ-057,Rio de Janeiro,RJ,BR
58,Store-AC-058,Rio Branco,AC,BR
59,Store-MS-059,Tres Lagoas,MS,BR
60,Store-RN-060,Natal,RN,BR
61,Store-ES-061,Serra,ES,BR
62,Store-MS-062,Dourados,MS,BR
63,Store-AL-063,Maceio,AL,BR
64,Store-SC-064,Florianopolis,SC,BR
65,Store-RS-065,Pelotas,RS,BR
66,Store-PR-066,Maringa,PR,BR
67,Store-GO-067,Anapolis,GO,BR
68,Store-PI-068,Teresina,PI,BR
69,Store-RJ-069,Duque de Caxias,RJ,BR
70,Store-DF-070,Brasilia,DF,BR
71,Store-GO-071,Aparecida de Goiania,GO,BR
72,Store-PA-072,Belem,PA,BR
73,Store-DF-073,Taguatinga,DF,BR
74,Store-PI-074,Picos,PI,BR
75,Store-TO-075,Araguaina,TO,BR
76,Store-AP-076,Laranjal do Jari,AP,BR
77,Store-MA-077,Sao Luis,MA,BR
78,Store-RS-078,Porto Alegre,RS,BR
79,Store-RS-079,Caxias do Sul,RS,BR
80,Store-RO-080,Porto Velho,RO,BR
81,Store-AM-081,Parintins,AM,BR
1,Store-SC-001,Blumenau,SC,BR
2,Store-AL-002,Palmeira dos Indios,AL,BR
3,Store-TO-003,Palmas,TO,BR
4,Store-TO-004,Gurupi,TO,BR
5,Store-SP-005,Guarulhos,SP,BR
6,Store-GO-006,Goiania,GO,BR
7,Store-AL-007,Arapiraca,AL,BR
8,Store-RR-008,Caracarai,RR,BR
9,Store-AC-009,Cruzeiro do Sul,AC,BR
10,Store-BA-010,Vitoria da Conquista,BA,BR
11,Store-PR-011,Curitiba,PR,BR
